名前,カテゴリ,ファイル&メディア,メモ,公式リンク,場所,最終更新日時,計算用データ：終了,計算用データ：開始,計算用データ：開始曜日,開催期間
物販：かまた祭,物販,,"・売り切れ次第終了→完売済み
・限定オリジナルTシャツ",https://x.com/live_natalie_mu/status/1987339373889925583?s=20,オンライン,2025年11月23日 1:41,-3120,-3456,,2025年11月9日 → 2025年11月22日
舞台挨拶：劇場版後編 舞台挨拶,舞台挨拶,,"・出演：理名、夕莉、朱李
・抽選で3名様に出演者から宛名入り直筆サイン",https://x.com/girlsbandcry/status/1984214013803479511?s=20,新宿バルト9,2025年11月13日 1:01,-3312,-3336,金,2025年11月14日
ライブ：COUNTDOWN JAPN25/26,ライブ,,・27日の大トリ,https://x.com/girlsbandcry/status/1988449172035695095?s=20,幕張メッセ,2025年11月13日 2:22,-2280,-2304,土,2025年12月27日 → 2025年12月27日
スタンプラリー：新スタンプ/缶バッジ,スタンプラリー,,"●12/5に恒常的に販売しているものとしてリストから除外対応済み。
・FRO CAFEにて発売中。",https://x.com/mirai_things/status/1987822547707027801?s=20,川崎,2025年12月6日 3:22,-2808,-3336,金,2025年11月14日 → 2025年12月5日
コラボ：HUB,コラボ,,"・コラボメニュー１点ごとにランダムで１枚プレゼント
・HUBコラボ実施店舗に加えて、秋葉原や池袋のあみあみでも店頭でグッズ販売
・あみあみオンラインで販売も実施",https://product.amiami.jp/amiami/project/girls-band-cry_hub/,"なんば, オンライン, 名古屋, 川崎, 新宿, 新橋銀座, 池袋, 秋葉原",2025年11月13日 0:52,-2928,-3336,金,2025年11月14日 → 2025年11月30日
ポップアップストア：filming ver. Part1,ポップアップストア,,"・オンラインは11/15～12/14まで
・3300円ごとに特製フォト風カード(6種)を1枚プレゼント",https://girlsbandcry-filming-popupshop.com/,"オンライン, 名古屋, 福岡",2025年11月13日 0:39,-3024,-3312,土,2025年11月15日 → 2025年11月26日
映画：劇場版総集編後半(第一週特典),映画,,・第一週特典：ミニ色紙(3種：仁菜・ルパ、桃香・智、ヒナ・ナナ),https://girls-band-cry.com/cinema/novelty/,全国,2025年11月18日 0:57,-3168,-3336,金,2025年11月14日 → 2025年11月20日
ノベルティ：スタンプラリーギャラリー,ノベルティ,,"●終了日未定
・2000円ごとにノベルティをプレゼント",https://x.com/mirai_things/status/1988547327083307396?s=20,川崎,2025年12月9日 1:39,-2736,-3336,金,2025年11月14日 → 2025年12月8日
ポップアップストア：ギャルver.,ポップアップストア,,"・通販は11/30まで
・2000円ごとにA3ポスターの抽選
・秋葉原駅にて広告動画掲出",https://x.com/curtaindamashii/status/1988459283332338079?s=20,"オンライン, ボークス秋葉原ホビー天国2",2025年11月13日 5:52,-3264,-3648,土,2025年11月1日 → 2025年11月16日
ラジオ：第一回トゲラジ,ラジオ,,・毎週火曜日 23:30～0:00,https://togeradi-interfm.bitfan.id/,オンライン,2025年11月13日 2:22,-4200,-4225,火,2025年10月7日 23:30 (GMT+9) → 23:59
ラジオ：第二回トゲラジ,ラジオ,,・毎週火曜日 23:30～0:00,https://togeradi-interfm.bitfan.id/,オンライン,2025年11月13日 2:22,-4032,-4057,火,2025年10月14日 23:30 (GMT+9) → 23:59
ラジオ：第三回トゲラジ,ラジオ,,・毎週火曜日 23:30～0:00,https://togeradi-interfm.bitfan.id/,オンライン,2025年11月13日 2:22,-3864,-3889,火,2025年10月21日 23:30 (GMT+9) → 23:59
ラジオ：第四回トゲラジ,ラジオ,,・毎週火曜日 23:30～0:00,https://togeradi-interfm.bitfan.id/,オンライン,2025年11月13日 2:22,-3696,-3721,火,2025年10月28日 23:30 (GMT+9) → 23:59
ラジオ：第五回トゲラジ,ラジオ,,・毎週火曜日 23:30～0:00,https://togeradi-interfm.bitfan.id/,オンライン,2025年11月13日 2:22,-3528,-3553,火,2025年11月4日 23:30 (GMT+9) → 23:59
ラジオ：第六回トゲラジ,ラジオ,,・毎週火曜日 23:30～0:00,https://togeradi-interfm.bitfan.id/,オンライン,2025年11月13日 2:22,-3360,-3385,火,2025年11月11日 23:30 (GMT+9) → 23:59
ラジオ：第七回トゲラジ,ラジオ,,・毎週火曜日 23:30～0:00,https://togeradi-interfm.bitfan.id/,オンライン,2025年11月13日 2:22,-3192,-3217,火,2025年11月18日 23:30 (GMT+9) → 23:59
ラジオ：第八回トゲラジ,ラジオ,,・毎週火曜日 23:30～0:00,https://togeradi-interfm.bitfan.id/,オンライン,2025年11月13日 2:22,-3024,-3049,火,2025年11月25日 23:30 (GMT+9) → 23:59
ポップアップストア：filming ver. Part2,ポップアップストア,,"・オンラインは11/15～12/14まで
・3300円ごとに特製フォト風カード(6種)を1枚プレゼント",https://girlsbandcry-filming-popupshop.com/,"あべの, オンライン, 渋谷",2025年11月13日 0:42,-2592,-2928,月,2025年12月1日 → 2025年12月14日
舞台挨拶：劇場版後編 舞台挨拶,舞台挨拶,,"・出演：夕莉、朱李
・抽選で3名様に出演者から宛名入り直筆サイン",https://x.com/girlsbandcry/status/1984214013803479511?s=20,"109シネマズ川崎, TOHOシネマズ川崎, チネチッタ",2025年11月13日 1:01,-3288,-3312,土,2025年11月15日
舞台挨拶：劇場版後編 舞台挨拶,舞台挨拶,,"・出演：理名、朱李
・抽選で3名様に出演者から宛名入り直筆サイン",https://x.com/girlsbandcry/status/1984214013803479511?s=20,"MOVIXさいたま, グランドシネマサンシャイン池袋, 新宿バルト9",2025年11月13日 1:01,-3264,-3288,,2025年11月16日
舞台挨拶：劇場版後編 舞台挨拶,舞台挨拶,,"・出演：理名、夕莉、朱李
・抽選で3名様に出演者から宛名入り直筆サイン",https://x.com/girlsbandcry/status/1984214013803479511?s=20,"109シネマズ川崎, TOHOシネマズ川崎, チネチッタ",2025年11月13日 1:01,-3120,-3144,土,2025年11月22日
